"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
"02237420","Acetaminophen, Caffeine & 8mg Codeine","PEN","tab","8mg","2012-04-16","2016-12-31","clonazepam","bzd","",10
"02237578","Spasmhalt-8","PEN","tab","8mg","2012-04-16","","acetaminophen+codeine phosphate+methocarbamol","opioid-pain muscle spasms","",0.15
"02237580","Spasmhalt-ASA-8","PEN","tab","8mg","2012-04-16","","acetaminophen+codeine phosphate+methocarbamol","opioid-pain muscle spasms","",0.15
"02238162","Diastat","VAL","rect gel-2x 5mg pk","5mg/mL","2012-04-16","","diazepam","bzd","",NA
"02238334","Novo-Clobazam","NOP","tab","10mg","2012-04-16","","clobazam","bzd","",0.5
"02238645","292","PEN","tab","30mg","2012-04-16","","asa, caffeine, codeine phosphate","opioid- pain releif","",0.15
"02238646","282 MEP","PEN","tab","15mg","2012-04-16","","asa, caffeine, codeine phosphate","opioid[- analgesic and sedative. perscribed when pain accompanied by muscle spasm/anxiety","",0.15
"02238670","C-2 Buffered with Codeine","PEN","tab","8mg","2012-04-16","","asa, caffeine, codeine phosphate","opioid[- mild to severe pain, fever, and inflammation","",0.15
"02239024","Novo-Clonazepam","NOP","tab","0.5mg","2012-04-16","","clonazepam","bzd","",10
"02239025","Novo-Clonazepam","NOP","tab","2mg","2012-04-16","","clonazepam","bzd","",10
"02240131","Oxy.IR","PFP","tab","10mg","2012-04-16","","oxycodone hydrochloride","opioid- mild to severe pain, fever, and inflammation","",1.5
"02240132","Oxy.IR","PFP","tab","20mg","2012-04-16","","oxycodone hydrochloride","opioid- mild to severe pain, fever, and inflammation","",1.5
"02241377","Metadol","PMS","o/l","10mg/mL","2012-04-16","","methadone","opioid- perscribed for chronic severe pain but also for oud","",4.7
"02242077","Riva-Clonazepam","RIA","tab","0.5mg","2012-04-16","","clonazepam","bzd","",10
"02242078","Riva-Clonazepam 2 mg","RIA","tab","2mg","2012-04-16","","clonazepam","bzd","",10
"02242163","Kadian","ABB","sr cap","10mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (extended release)","",1
"02242180","Muscle & Back Pain Relief - 8","VIP","tab","8mg","2012-04-16","","acetaminophen+codeine phosphate+methocarbamol","opioid-cancelled post-market ","",0.15
"02242406","Trianal C1/4","LAT","cap","15mg","2012-04-16","","butalbital + acetylsalicylic acid + caffeine + codeine phosphate","opioid/barbituate","",0.15
"02242468","Rivacocet","RIA","tab","5mg","2012-04-16","","acetaminophen + codeine phosphate","opioid- short-term post-operative pain relief","",0.15
"02243023","Ratio-Temazepam","RPH","cap","15mg","2012-04-16","","temazepam","bzd","",0.5
"02243024","Ratio-Temazepam","RPH","cap","30mg","2012-04-16","","temazepam","bzd","",0.5
"02243047","Muscle & Back Pain Relief-8","PEN","tab","8mg","2012-04-16","","acetaminophen+codeine phosphate+methocarbamol","opioid-back pain and muscle spasms","",0.15
"02243063","Covan Syrup","PMS","o/l","10mg","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid- cough supresent/ expectorant tightly controlled","",0.15
"02243562","Hydromorph Contin","PFP","cr cap","18mg","2012-04-16","","hydromorphone hydrochloride","opioid- long term severe pain. mostly perscribed for palliative care","",5
"02243611","Apo-Alpraz","APX","tab","1mg","2012-04-16","","alprazolam","bzd- short term anxiety relief","",10
"02243612","Apo-Alpraz TS","APX","tab","2mg","2012-04-16","","alprazolam","bzd- short term anxiety relief. ts stands for tablet scored (can safely be split)","",10
"02243978","PMS-Codeine","PMS","tab","15mg","2012-04-16","","codeine phosphate","opioid- short-term mild to moderate pain and cough supression","",0.15
"02243979","PMS-Codeine","PMS","tab","30mg","2012-04-16","","codeine phosphate","opioid- short-term mild to moderate pain and cough supression","",0.15
"02244010","Balminil Codeine Nighttime + expectorant","ROG","o/l","3.33mg","2012-04-16","","ammonium chloride, codeine phosphate, diphenhydramine","opioid- cough supresent/ expectorant tightly controlled","",0.15
"02244011","Balminil Codeine+Decongest+Expectorant","ROG","o/l","100mg","2012-04-16","","ammonium chloride, codeine phosphate, diphenhydramine","opioid- cough supresent/ expectorant tightly controlled","",0.15
"02244078","Dimetapp-C Syrup","WYE","o/l","10mg","2012-04-16","","codeine phosphate + triprolidine hydrochloride + pseudoephedrine hydrochloride","opioid- antitussive, antihistamne and decongestant.","",0.15
"02244079","Dimetane Expectorant C","PFI","o/l","100mg","2012-04-16","","brompheniramine maleate+codeine phosphate+guaifenesin+phenylphrine hrodchloride","opioid- antitussive, antihistamne and decongestant.","",0.15
"02244080","Dimetane Expectorant DC","PFI","o/l","100mg","2012-04-16","","brompheniramine maleate+hydrocodone bitartrate+guaifenesin+phenylphrine hrodchloride","opioid- antitussive, antihistamne and decongestant.","",1
"02244290","Metadol-D","PMS","o/l","10mg","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02244474","PMS-Clobazam","PMS","tab","10mg","2012-04-16","","clobazam","bzd","",0.5
"02244638","Apo-Clobazam","APX","tab","10mg","2012-04-16","","clobazam","bzd","",0.5
"02244790","Sandoz Morphine SR","SDZ","sr tab","15mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (extended release)","",1
"02244791","Sandoz Morphine SR","SDZ","sr tab","30mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (extended release)","",1
"02244792","Sandoz Morphine SR","SDZ","sr tab","60mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (extended release)","",1
"02244814","Co Temazepam","COB","cap","15mg","2012-04-16","","temazepam","bzd","",0.5
"02244815","Co Temazepam","COB","cap","30mg","2012-04-16","","temazepam","bzd","",0.5
"02245230","Apo-Nitrazepam","APX","tab","5mg","2012-04-16","","nitrazepam","bzd","",1
"02245231","Apo-Nitrazepam","APX","tab","10mg","2012-04-16","","nitrazepam","bzd","",1
"02245284","PMS-Morphine Sulfate","PMS","sr tab","15mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (immediate release)","",1
"02245285","PMS-Morphine Sulfate","PMS","sr tab","30mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (immediate release)","",1
"02245286","PMS-Morphine Sulfate","PMS","sr tab","60mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (immediate release)","",1
"02245287","PMS-Morphine Sulfate SR","PMS","sr tab","100mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (sustained release)","",1
"02245288","PMS-Morphine Sulfate SR","PMS","sr tab","200mg","2012-04-16","","morphine sulfate","opioid - long term pain relief (sustained release)","",1
"02245592","Damylin With Codeine Syrup","RIA","o/l","3.3mg","2012-04-16","","codeine phosphate","opioid- cough supresent tightly controlled","",0.15
"02245703","Hydromorph.IR-2mg","PFP","tab","2mg","2012-04-16","","hydromorphone hydrochloride","opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids","",5
"02245704","Hydromorph.IR - 4mg","PFP","tab","4mg","2012-04-16","","hydromorphone hydrochloride","opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids","",5
"02245705","Hydromorph.IR - 8mg","PFP","tab","8mg","2012-04-16","","hydromorphone hydrochloride","opioid- post-operative pain relief and short-term migraine relief. mostly short-term severe pain relief to supplement other opioids","",5
"02245709","Benylin 2 Cold And Flu With Codeine","MCL","o/l","100mg","2012-04-16","","codeine phosphate+guaifenesin+pseudoephedrine hydrochloride","opioid- cough supresent/ expectorant tightly controlled","",0.15
"02245758","PMS-Oxycodone-Acetaminophen","PMS","tab","5mg & 325mg","2012-11-29","","acetaminophen + codeine phosphate","opioid- mild to moderate acute pain ","",0.15
"02245784","Dom-Lorazepam","DPC","tab","0.5mg","2012-04-16","","lorazepam","bzd","",5
"02245785","Dom-Lorazepam","DPC","tab","1mg","2012-04-16","","lorazepam","bzd","",5
"02245786","Dom-Lorazepam","DPC","tab","2mg","2012-04-16","","lorazepam","bzd","",5
"02246085","Acetaminophen, Caffeine & 8mg Codeine","JPC","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- mild to moderate acute pain ","",0.15
"02246103","ASA, Caffeine & Codeine Phosphate Tablet","JPC","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- mild to moderate acute pain ","",0.15
"02246991","Phl-Methylphenidate","PHE","tab","5mg","2012-04-16","","methylphenidate","stimulant","",NA
"02247173","Bio-Diazepam","BII","tab","2mg","2012-04-16","","diazepam","bzd","",1
"02247174","Bio-Diazepam","BII","tab","5mg","2012-04-16","","diazepam","bzd","",1
"02247176","Bio-Diazepam","BII","tab","10mg","2012-04-16","","diazepam","bzd","",1
"02247177","Bio-Oxazepam","BII","tab","10mg","2012-04-16","","oxazepam","bzd","",0.33
"02247178","Bio-Oxazepam","BII","tab","15mg","2012-04-16","","oxazepam","bzd","",0.33
"02247179","Bio-Oxazepam","BII","tab","30mg","2012-04-16","","oxazepam","bzd","",0.33
"02247230","Dom-Clobazam","DPC","tab","10mg","2012-04-16","","clobazam","bzd","",0.5
"02247364","Ratio-Methylphenidate","RPH","tab","5mg","2012-04-16","","methylphenidate","stimulant","",NA
"02247374","Metadol-D","PAL","oral sol","50mcg/mL","2024-07-31","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247490","PMS-Diazepam","BII","tab","2mg","2012-04-16","","diazepam","bzd","",1
"02247491","PMS-Diazepam","BII","tab","5mg","2012-04-16","","diazepam","bzd","",1
"02247492","PMS-Diazepam","BII","tab","10mg","2012-04-16","","diazepam","bzd","",1
"02247694","Metadol","PMS","o/l","1mg/mL","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247698","Metadol","PMS","tab","1mg","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247699","Metadol","PMS","tab","5mg","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247700","Metadol","PMS","tab","10mg","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247701","Metadol","PMS","tab","25mg","2012-04-16","","methadone hydrochloride","opioid- chronic severe pain and opioid use disorder","",4.7
"02247732","Concerta","JAN","sr tab","18mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02247733","Concerta","JAN","sr tab","36mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02247734","Concerta","JAN","sr tab","54mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02248126","Bio-Flurazepam","BII","cap","15mg","2012-04-16","","flurazepam","bzd","",0.33
"02248127","Bio-Flurazepam","BII","cap","30mg","2012-04-16","","flurazepam","bzd","",0.33
"02248817","Acetaminophen, Caffeine & 8mg of Codeine","PHI","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate + caffeine","opioid- mild to moderate acute pain ","",0.15
"02248977","Muscle and Back Pain Relief-8","ROG","tab","8mg","2012-04-16","","acetaminophen+codeine phosphate+methocarbamol","opioid- short-term pain muscle spasms","",0.15
"02249324","Apo-Methylphenidate","APX","tab","10mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02249332","Apo-Methylphenidate","APX","tab","20mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02249928","Hydromorphone","SOR","tab","2mg","2012-04-16","","hydromorphone hydrochloride","opioid- short-term post-operative pain relief","",5
"02249936","Hydromorphone","SOR","tab","4mg","2012-04-16","","hydromorphone hydrochloride","opioid- short-term post-operative pain relief","",5
"02250241","Concerta","JAN","sr tab","27mg","2012-04-16","","methylphenidate hydrochloride","stimulant","",NA
"02250551","Muscle and Back Pain Relief - 8 Tablets","PHI","tab","8mg","2012-04-16","","acetaminophen + caffeine + codeine phosphate","opioid- short-term pain muscle spasms","",0.15
"02251914","Acetaminophen, Caffeine & 8mg of Codeine","PHI","tab","8mg","2012-04-16","","acetaminophen + caffeine + codeine phosphate","opioid- short-term pain muscle spasms","",0.15
"02254263","Phl-Acet-Codeine 60","PHE","tab","60mg","2012-04-16","","acetaminophen + codeine phosphate","opioid- short-term moderate to severe pain","",0.15
"02254271","Phl-Acet-Codeine 30","PHE","tab","30mg","2012-04-16","","acetaminophen + codeine phosphate","opioid- short-term moderate to severe pain","",0.15
"02258099","Cough Syrup With Codeine","SUP","o/l","100mg","2012-04-16","","codeine phosphate+guaifenesin+pseudoephedrine hydrochloride","opioid- cough supresent/ expectorant tightly controlled","",0.15
"02258129","Oxycontin 5mg","PFP","er tab","5mg","2012-04-16","","oxycodone hydrochloride","opioid - long term pain relief (controlled release)","",1.5
"02262983","Supeudol","SDZ","tab","20mg","2012-04-16","","oxycodone hydrochloride","opioid- long term pain relief (high overodse risk)","",1.5
"02264846","Tramacet","JAN","tab","37.5mg & 325mg","2012-04-16","","acetaminophen+tramadol hydrochloride","opioid- long term pain relief (high overodse risk)","",1
"02266687","Apo-Methylphenidate SR","APX","er tab","20mg","2012-04-16","","methylphenidate hydrochloride","stimulant- sustained release formulation","",NA
"02270641","Co Clonazepam","COB","tab","0.5mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",10
"02270668","Co Clonazepam","COB","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",10
"02270676","Co Clonazepam","COB","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",10
"02273039","PMS-Temazepam","PMS","cap","15mg","2012-11-29","","temazepam","bzd- insomnia ","",0.5
"02273047","PMS-Temazepam","PMS","cap","30mg","2012-11-29","","temazepam","bzd- insomnia ","",0.5
"02273950","Apo-Methylphenidate","APX","tab","5mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277131","Biphentin","PFP","er cap","15mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277158","Biphentin","PFP","er cap","20mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277166","Biphentin","PFP","er cap","10mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277174","Biphentin","PFP","er cap","30mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277182","Biphentin","PFP","er cap","40mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277190","Biphentin","PFP","er cap","50mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277204","Biphentin","PFP","er cap","60mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02277212","Biphentin","PFP","er cap","80mg","2012-04-16","","methylphenidate hydrochloride","stimulant- adhd and narcolepsy","",NA
"02285037","Teva-Oxycodone CR","TEV","er tab","10mg","2012-11-27","","oxycodone hydrochloride","opioid- long term pain relief","Cancelled pre-market",1.5
"02285045","Teva-Oxycodone CR","TEV","er tab","20mg","2012-11-27","","oxycodone hydrochloride","opioid- long term pain relief","Cancelled pre-market",1.5
"02286424","Zytram XL","PFP","er tab","150mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02286432","Zytram XL","PFP","er tab","200mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02286440","Zytram XL","PFP","er tab","300mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02286459","Zytram XL","PFP","er tab","400mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02291266","Teva-Oxycodone CR","TEV","er tab","40mg","2012-11-27","","oxycodone hydrochloride","opioid- long term pain relief","Cancelled pre-market",1.5
"02291274","Teva-Oxycodone CR","TEV","er tab","80mg","2012-11-27","","oxycodone hydrochloride","opioid- long term pain relief","Cancelled pre-market",1.5
"02296381","Tridural","LAB","er tab","100mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02296403","Tridural","LAB","er tab","200mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02296411","Tridural","LAB","er tab","300mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02297957","Phl-Temazepam","PHE","cap","15mg","2012-04-16","","temazepam","bzd- insomnia ","",0.5
"02297965","Phl-Temazepam","PHE","cap","30mg","2012-04-16","","temazepam","bzd- insomnia ","",0.5
"02298201","Phl-Lorazepam","PHE","tab","0.5mg","2012-04-16","","lorazepam","bzd- anxiety disorder","",5
"02298228","Phl-Lorazepam","PHE","tab","1mg","2012-04-16","","lorazepam","bzd- anxiety disorder","cancelled post-market but on the same day as original market date",5
"02298236","Phl-Lorazepam","PHE","tab","2mg","2012-04-16","","lorazepam","bzd- anxiety disorder","cancelled post-market but on the same day as original market date",5
"02299194","Ralivia","VAL","er tab","100mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02299208","Ralivia","VAL","er tab","200mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02299216","Ralivia","VAL","er tab","300mg","2012-04-16","","tramadol hydrochloride","opioid- long term moderate pain relief","",1
"02302764","Novo-Morphine SR","NOP","sr tab","15mg","2012-04-16","","morphine sulfate","opioid- long term severe pain. mostly perscribed for palliative care","",1
"02302772","Novo-Morphine SR","NOP","sr tab","30mg","2012-04-16","","morphine sulfate","opioid- long term severe pain. mostly perscribed for palliative care","",1
"02302780","Novo-Morphine SR","NOP","sr tab","60mg","2012-04-16","","morphine sulfate","opioid- long term severe pain. mostly perscribed for palliative care","",1
"02302799","Novo-Morphine SR","NOP","sr tab","100mg","2012-04-16","","morphine sulfate","opioid- long term severe pain. mostly perscribed for palliative care","",1
"02302802","Novo-Morphine SR","NOP","sr tab","200mg","2012-04-16","","morphine sulfate","opioid- long term severe pain. mostly perscribed for palliative care","",1
"02303299","AC&C Tablets","PEN","tab","8mg","2012-04-16","","acetaminophen + codeine phosphate","opioid- antitussive, antipyretic and analgesic. behind the counter (no perscription)","",0.15
"02303329","Zym-Clonazepam","ZYN","tab","1mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",10
"02303337","Zym-Clonazepam","ZYN","tab","2mg","2012-04-16","","clonazepam","bzd- seizure disorder + panic and anxiety disorder","",10
"02306530","Apo-Oxycodone CR","APX","er tab","40mg","2012-11-27","","oxycodone hydrochloride","opioid- long term moderate to severe pain relief (controlled release)","",1.5
"02307898","Sandoz Oxycodone/Acetaminophen","SDZ","tab","5mg & 325mg","2012-04-16","","oxycodone hydrochloride","opioid- long term moderate to severe pain relief (controlled release)","Dormant- there is more than 12 months of records indicating no sales in canada",1.5
"02309882","PMS-Oxycodone CR","PMS","er tab","10mg","2012-11-27","","oxycodone hydrochloride","opioid- long term moderate to severe pain relief (controlled release)","",1.5
