"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
2533391,"Taro-Lisdexamfetamine Chewable Tablets","TAR","Chew Tab","60mg","2024-07-31","","liisdexamfetamine","Stimulant- adhd medication and binge eating disorder","",NA
2533642,"Apo-Methadone","APX","Tab","1mg","2024-04-30","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2533650,"Apo-Methadone","APX","Tab","5mg","2024-04-30","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2533669,"Apo-Methadone","APX","Tab","10mg","2024-04-30","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2533677,"Apo-Methadone","APX","Tab","25mg","2024-04-30","","methadone hydrochloride","Opioid-  opioid use disorder","",NA
2536943,"PMS-Methylphenidate CR","PMS","ER Cap","10mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2536951,"PMS-Methylphenidate CR","PMS","ER Cap","15mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2536978,"PMS-Methylphenidate CR","PMS","ER Cap","20mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2536986,"PMS-Methylphenidate CR","PMS","ER Cap","30mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2536994,"PMS-Methylphenidate CR","PMS","ER Cap","40mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2537001,"PMS-Methylphenidate CR","PMS","ER Cap","50mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2537028,"PMS-Methylphenidate CR","PMS","ER Cap","60mg","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2537036,"PMS-Methylphenidate CR","PMS","ER Cap","80mg ","2023-12-29","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
2541602,"Quillivant ER Chewable Tablets","KYE","ER Tab Chewable","20mg","2024-08-30","","Methylphenidate Hydrochloride","Stimulant- ADHD medication and sometimes used for narcolepsy","",NA
