"","package","dependencies"
"27","haven","bit, bit64, cli, clipr, cpp11, crayon, forcats, glue, graphics, grDevices, hms, lifecycle, magrittr, methods, pillar, pkgconfig, prettyunits, progress, R6, readr, rlang, stats, tibble, tidyselect, tzdb, utf8, utils, vctrs, vroom, withr"
"28","jsonlite","methods"
"29","kableExtra","base64enc, bslib, cachem, cli, cpp11, digest, evaluate, farver, fastmap, fontawesome, fs, glue, graphics, grDevices, grid, highr, htmltools, jquerylib, jsonlite, knitr, labeling, lifecycle, magrittr, memoise, methods, mime, R6, rappdirs, RColorBrewer, rlang, rmarkdown, rstudioapi, sass, scales, stats, stringi, stringr, svglite, systemfonts, textshaping, tinytex, tools, utils, vctrs, viridisLite, xfun, xml2, yaml"
"30","logger","utils"
"31","magrittr",""
"32","memoise","cachem, fastmap, rlang, utils"
"33","devtools","askpass, base64enc, brew, brio, bslib, cachem, callr, cli, clipr, commonmark, cpp11, crayon, credentials, curl, desc, diffobj, digest, downlit, ellipsis, evaluate, fansi, fastmap, fontawesome, fs, gert, gh, gitcreds, glue, graphics, grDevices, grid, highr, htmltools, htmlwidgets, httpuv, httr2, ini, jquerylib, jsonlite, knitr, later, lifecycle, magrittr, memoise, methods, mime, miniUI, openssl, pillar, pkgbuild, pkgconfig, pkgdown, pkgload, praise, prettyunits, processx, profvis, promises, ps, purrr, R6, ragg, rappdirs, rcmdcheck, Rcpp, remotes, rlang, rmarkdown, roxygen2, rprojroot, rstudioapi, rversions, sass, sessioninfo, shiny, sourcetools, stats, stringi, stringr, sys, systemfonts, testthat, textshaping, tibble, tinytex, tools, urlchecker, usethis, utf8, utils, vctrs, waldo, whisker, withr, xfun, xml2, xopen, xtable, yaml, zip"
"34","tibble","cli, glue, lifecycle, magrittr, methods, pillar, pkgconfig, rlang, utf8, utils, vctrs"
"35","purrr","cli, glue, lifecycle, magrittr, methods, rlang, utils, vctrs"
"36","quarto","base64enc, bslib, cachem, cli, digest, evaluate, fastmap, fontawesome, fs, glue, grDevices, highr, htmltools, jquerylib, jsonlite, knitr, later, lifecycle, memoise, methods, mime, processx, ps, R6, rappdirs, Rcpp, rlang, rmarkdown, rstudioapi, sass, stats, tinytex, tools, utils, xfun, yaml"
"37","pkgdown","askpass, base64enc, brio, bslib, cachem, callr, cli, cpp11, curl, desc, digest, downlit, evaluate, fansi, fastmap, fontawesome, fs, glue, graphics, grDevices, grid, highr, htmltools, httr2, jquerylib, jsonlite, knitr, lifecycle, magrittr, memoise, methods, mime, openssl, pillar, pkgconfig, processx, ps, purrr, R6, ragg, rappdirs, rlang, rmarkdown, sass, stats, stringi, sys, systemfonts, textshaping, tibble, tinytex, tools, utf8, utils, vctrs, whisker, withr, xfun, xml2, yaml"
"38","lintr","backports, cli, codetools, digest, evaluate, glue, grDevices, highr, knitr, lazyeval, methods, rex, rlang, stats, tools, utils, xfun, xml2, xmlparsedata, yaml"
"39","stylr",""
"40","osfr","askpass, cachem, cli, crul, curl, fastmap, fs, glue, httpcode, httr, jsonlite, lifecycle, magrittr, memoise, methods, mime, openssl, pillar, pkgconfig, purrr, R6, Rcpp, rlang, stats, stringi, sys, tibble, tools, triebeard, urltools, utf8, utils, vctrs"
"41","parsnip","cli, codetools, cpp11, dplyr, farver, generics, ggplot2, globals, glue, graphics, grDevices, grid, gtable, hardhat, isoband, labeling, lattice, lifecycle, magrittr, MASS, Matrix, methods, mgcv, nlme, pillar, pkgconfig, prettyunits, purrr, R6, RColorBrewer, rlang, scales, sparsevctrs, splines, stats, stringi, stringr, tibble, tidyr, tidyselect, tools, utf8, utils, vctrs, viridisLite, withr"
"42","pmsampsize",""
"43","ranger","graphics, grDevices, grid, lattice, Matrix, methods, Rcpp, RcppEigen, stats, utils"
"44","rsample","cli, codetools, cpp11, digest, dplyr, furrr, future, generics, globals, glue, graphics, grDevices, lifecycle, listenv, magrittr, methods, parallel, parallelly, pillar, pkgconfig, purrr, R6, rlang, slider, stats, stringi, stringr, tibble, tidyr, tidyselect, tools, utf8, utils, vctrs, warp, withr"
"45","stringr","cli, glue, lifecycle, magrittr, methods, rlang, stats, stringi, tools, utils, vctrs"
"46","targets","backports, base64url, callr, cli, codetools, cpp11, data.table, evaluate, glue, graphics, grDevices, grid, highr, igraph, knitr, lattice, lifecycle, magrittr, Matrix, methods, pillar, pkgconfig, prettyunits, processx, ps, R6, rlang, secretbase, stats, tibble, tidyselect, tools, utf8, utils, vctrs, withr, xfun, yaml"
"47","utils",""
"48","xgboost","data.table, graphics, grDevices, grid, jsonlite, lattice, Matrix, methods, stats, utils"
"49","yardstick","cli, dplyr, generics, glue, graphics, grDevices, hardhat, lifecycle, magrittr, methods, pillar, pkgconfig, R6, rlang, sparsevctrs, tibble, tidyselect, utf8, utils, vctrs, withr"
"50","DescTools","askpass, base, bit, bit64, boot, cellranger, class, cli, clipr, cpp11, crayon, curl, data.table, e1071, Exact, expm, forcats, fs, gld, glue, graphics, grDevices, grid, haven, hms, httr, jsonlite, lattice, lifecycle, lmom, magrittr, MASS, Matrix, methods, mime, mvtnorm, openssl, pillar, pkgconfig, prettyunits, progress, proxy, R6, Rcpp, readr, readxl, rematch, rlang, rootSolve, rstudioapi, stats, sys, tibble, tidyselect, tools, tzdb, utf8, utils, vctrs, vroom, withr"
"51","survminer","abind, backports, boot, broom, car, carData, cli, commonmark, corrplot, cowplot, cpp11, curl, data.table, Deriv, doBy, dplyr, evaluate, exactRankTests, farver, Formula, generics, ggplot2, ggpubr, ggrepel, ggsci, ggsignif, ggtext, glue, graphics, grDevices, grid, gridExtra, gridtext, gtable, highr, isoband, jpeg, km.ci, KMsurv, knitr, labeling, lattice, lifecycle, litedown, lme4, magrittr, markdown, MASS, Matrix, MatrixModels, maxstat, methods, mgcv, microbenchmark, minqa, modelr, mvtnorm, nlme, nloptr, nnet, numDeriv, parallel, pbkrtest, pillar, pkgconfig, png, polynom, purrr, quantreg, R6, rbibutils, RColorBrewer, Rcpp, RcppEigen, Rdpack, reformulas, rlang, rstatix, scales, SparseM, splines, stats, stringi, stringr, survival, survMisc, tibble, tidyr, tidyselect, tools, utf8, utils, vctrs, viridisLite, withr, xfun, xml2, xtable, yaml, zoo"
"52","patchwork","cli, farver, ggplot2, glue, graphics, grDevices, grid, gtable, isoband, labeling, lattice, lifecycle, magrittr, MASS, Matrix, methods, mgcv, nlme, pillar, pkgconfig, R6, RColorBrewer, rlang, scales, splines, stats, tibble, utf8, utils, vctrs, viridisLite, withr"
"53","tune","class, cli, clock, codetools, cpp11, data.table, diagram, dials, DiceDesign, digest, dplyr, farver, furrr, future, future.apply, generics, ggplot2, globals, glue, gower, GPfit, graphics, grDevices, grid, gtable, hardhat, ipred, isoband, KernSmooth, labeling, lattice, lava, lhs, lifecycle, listenv, lubridate, magrittr, MASS, Matrix, methods, mgcv, modelenv, nlme, nnet, numDeriv, parallel, parallelly, parsnip, pillar, pkgconfig, prettyunits, prodlim, progressr, purrr, R6, RColorBrewer, Rcpp, recipes, rlang, rpart, rsample, scales, sfd, shape, slider, sparsevctrs, splines, SQUAREM, stats, stringi, stringr, survival, tailor, tibble, tidyr, tidyselect, timechange, timeDate, tools, tzdb, utf8, utils, vctrs, viridisLite, warp, withr, workflows, yardstick"
"54","dplyr","cli, generics, glue, graphics, grDevices, lifecycle, magrittr, methods, pillar, pkgconfig, R6, rlang, tibble, tidyselect, utf8, utils, vctrs, withr"
"55","reshape","methods, plyr, Rcpp, utils"
"56","riskRegression","backports, base64enc, bslib, cachem, checkmate, cli, cluster, cmprsk, codetools, colorspace, data.table, diagram, digest, doParallel, evaluate, farver, fastmap, fontawesome, foreach, foreign, Formula, fs, future, future.apply, ggplot2, glmnet, globals, glue, graphics, grDevices, grid, gridExtra, gtable, highr, Hmisc, htmlTable, htmltools, htmlwidgets, isoband, iterators, jquerylib, jsonlite, KernSmooth, knitr, labeling, lattice, lava, lifecycle, listenv, magrittr, MASS, Matrix, MatrixModels, memoise, methods, mets, mgcv, mime, multcomp, mvtnorm, nlme, nnet, numDeriv, parallel, parallelly, pillar, pkgconfig, plotrix, polspline, prodlim, progressr, Publish, quantreg, R6, ranger, rappdirs, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, rlang, rmarkdown, rms, rpart, rstudioapi, sandwich, sass, scales, shape, SparseM, splines, SQUAREM, stats, stringi, stringr, survival, TH.data, tibble, timereg, tinytex, tools, utf8, utils, vctrs, viridis, viridisLite, withr, xfun, yaml, zoo"
"57","pec","backports, base64enc, bslib, cachem, checkmate, cli, cluster, cmprsk, codetools, colorspace, data.table, diagram, digest, doParallel, evaluate, farver, fastmap, fontawesome, foreach, foreign, Formula, fs, future, future.apply, ggplot2, glmnet, globals, glue, graphics, grDevices, grid, gridExtra, gtable, highr, Hmisc, htmlTable, htmltools, htmlwidgets, isoband, iterators, jquerylib, jsonlite, KernSmooth, knitr, labeling, lattice, lava, lifecycle, listenv, magrittr, MASS, Matrix, MatrixModels, memoise, methods, mets, mgcv, mime, multcomp, mvtnorm, nlme, nnet, numDeriv, parallel, parallelly, pillar, pkgconfig, plotrix, polspline, prodlim, progressr, Publish, quantreg, R6, ranger, rappdirs, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, riskRegression, rlang, rmarkdown, rms, rpart, rstudioapi, sandwich, sass, scales, shape, SparseM, splines, SQUAREM, stats, stringi, stringr, survival, TH.data, tibble, timereg, tinytex, tools, utf8, utils, vctrs, viridis, viridisLite, withr, xfun, yaml, zoo"
"58","timeROC","backports, base64enc, bslib, cachem, checkmate, cli, cluster, cmprsk, codetools, colorspace, data.table, diagram, digest, doParallel, evaluate, farver, fastmap, fontawesome, foreach, foreign, Formula, fs, future, future.apply, ggplot2, glmnet, globals, glue, graphics, grDevices, grid, gridExtra, gtable, highr, Hmisc, htmlTable, htmltools, htmlwidgets, isoband, iterators, jquerylib, jsonlite, KernSmooth, knitr, labeling, lattice, lava, lifecycle, listenv, magrittr, MASS, Matrix, MatrixModels, memoise, methods, mets, mgcv, mime, multcomp, mvtnorm, nlme, nnet, numDeriv, parallel, parallelly, pec, pillar, pkgconfig, plotrix, polspline, prodlim, progressr, Publish, quantreg, R6, ranger, rappdirs, RColorBrewer, Rcpp, RcppArmadillo, RcppEigen, riskRegression, rlang, rmarkdown, rms, rpart, rstudioapi, sandwich, sass, scales, shape, SparseM, splines, SQUAREM, stats, stringi, stringr, survival, TH.data, tibble, timereg, tinytex, tools, utf8, utils, vctrs, viridis, viridisLite, withr, xfun, yaml, zoo"
"59","tableone","bit, bit64, class, cli, clipr, cpp11, crayon, DBI, dplyr, e1071, forcats, gdata, generics, glue, gmodels, graphics, grDevices, grid, gtools, haven, hms, labelled, lattice, lifecycle, magrittr, MASS, Matrix, methods, minqa, mitools, nlme, numDeriv, pillar, pkgconfig, prettyunits, progress, proxy, purrr, R6, Rcpp, RcppArmadillo, readr, rlang, splines, stats, stringi, stringr, survey, survival, tibble, tidyr, tidyselect, tools, tzdb, utf8, utils, vctrs, vroom, withr, zoo"
"60","gbm","graphics, grDevices, grid, lattice, Matrix, methods, parallel, splines, stats, survival, utils"
