"","variable","dummyVariable","typeEnd","databaseStart","variableStart","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes"
"1215","GEODPMF","GEODPMF_cat97_27","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","24913","97","REGION DE LAVAL","REGION DE LAVAL","N/A","24913","REGION DE LAVAL","Health Region - (G)","Health Region - (G)",""
"1216","GEODPMF","GEODPMF_cat97_28","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","24914","97","REGION DE LANAUDIERE","REGION DE LANAUDIERE","N/A","24914","REGION DE LANAUDIERE","Health Region - (G)","Health Region - (G)",""
"1217","GEODPMF","GEODPMF_cat97_29","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","24915","97","REGION DES LAURENTIDES","REGION DES LAURENTIDES","N/A","24915","REGION DES LAURENTIDES","Health Region - (G)","Health Region - (G)",""
"1218","GEODPMF","GEODPMF_cat97_30","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","24916","97","REGION DE LA MONTEREGIE","REGION DE LA MONTEREGIE","N/A","24916","REGION DE LA MONTEREGIE","Health Region - (G)","Health Region - (G)",""
"1219","GEODPMF","GEODPMF_cat97_31","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35926","97","DISTRICT OF ALGOMA HEALTH UNIT","DISTRICT OF ALGOMA HEALTH UNIT","N/A","35926","DISTRICT OF ALGOMA HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1220","GEODPMF","GEODPMF_cat97_32","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35927","97","BRANT COUNTY HEALTH UNIT","BRANT COUNTY HEALTH UNIT","N/A","35927","BRANT COUNTY HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1221","GEODPMF","GEODPMF_cat97_33","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35930","97","DURHAM REGIONAL HEALTH UNIT","DURHAM REGIONAL HEALTH UNIT","N/A","35930","DURHAM REGIONAL HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1222","GEODPMF","GEODPMF_cat97_34","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35931","97","ELGIN-ST THOMAS HEALTH UNIT","ELGIN-ST THOMAS HEALTH UNIT","N/A","35931","ELGIN-ST THOMAS HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1223","GEODPMF","GEODPMF_cat97_35","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35933","97","GREY BRUCE HEALTH UNIT","GREY BRUCE HEALTH UNIT","N/A","35933","GREY BRUCE HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1224","GEODPMF","GEODPMF_cat97_36","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35934","97","HALDIMAND-NORFOLK HEALTH UNIT","HALDIMAND-NORFOLK HEALTH UNIT","N/A","35934","HALDIMAND-NORFOLK HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1225","GEODPMF","GEODPMF_cat97_37","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35935","97","HALIBURTON-KAWARTHA-PINE RIDGE DHU","HALIBURTON-KAWARTHA-PINE RIDGE DHU","N/A","35935","HALIBURTON-KAWARTHA-PINE RIDGE DHU","Health Region - (G)","Health Region - (G)",""
"1226","GEODPMF","GEODPMF_cat97_38","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35936","97","HALTON REGIONAL HEALTH UNIT","HALTON REGIONAL HEALTH UNIT","N/A","35936","HALTON REGIONAL HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1227","GEODPMF","GEODPMF_cat97_39","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35937","97","CITY OF HAMILTON HEALTH UNIT","CITY OF HAMILTON HEALTH UNIT","N/A","35937","CITY OF HAMILTON HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1228","GEODPMF","GEODPMF_cat97_40","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35938","97","HASTINGS AND PRINCE EDWARD COUNTIES HU","HASTINGS AND PRINCE EDWARD COUNTIES HU","N/A","35938","HASTINGS AND PRINCE EDWARD COUNTIES HU","Health Region - (G)","Health Region - (G)",""
"1229","GEODPMF","GEODPMF_cat97_41","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35939","97","HURON AND PERTH HEALTH UNITS","HURON AND PERTH HEALTH UNITS","N/A","35939","HURON AND PERTH HEALTH UNITS","Health Region - (G)","Health Region - (G)",""
"1230","GEODPMF","GEODPMF_cat97_42","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35940","97","CHATHAM-KENT HEALTH UNIT","CHATHAM-KENT HEALTH UNIT","N/A","35940","CHATHAM-KENT HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1231","GEODPMF","GEODPMF_cat97_43","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35941","97","KINGSTON-FRONTENAC-LENNOX-ADDINGTON HU","KINGSTON-FRONTENAC-LENNOX-ADDINGTON HU","N/A","35941","KINGSTON-FRONTENAC-LENNOX-ADDINGTON HU","Health Region - (G)","Health Region - (G)",""
"1232","GEODPMF","GEODPMF_cat97_44","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35942","97","LAMBTON HEALTH UNIT","LAMBTON HEALTH UNIT","N/A","35942","LAMBTON HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1233","GEODPMF","GEODPMF_cat97_45","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35943","97","LEEDS-GRENVILLE-LANARK DHU","LEEDS-GRENVILLE-LANARK DHU","N/A","35943","LEEDS-GRENVILLE-LANARK DHU","Health Region - (G)","Health Region - (G)",""
"1234","GEODPMF","GEODPMF_cat97_46","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35944","97","MIDDLESEX-LONDON HEALTH UNIT","MIDDLESEX-LONDON HEALTH UNIT","N/A","35944","MIDDLESEX-LONDON HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1235","GEODPMF","GEODPMF_cat97_47","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35946","97","NIAGARA REGIONAL AREA HEALTH UNIT","NIAGARA REGIONAL AREA HEALTH UNIT","N/A","35946","NIAGARA REGIONAL AREA HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1236","GEODPMF","GEODPMF_cat97_48","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35947","97","NORTH BAY AND TIMISKAMING HEALTH UNITS","NORTH BAY AND TIMISKAMING HEALTH UNITS","N/A","35947","NORTH BAY AND TIMISKAMING HEALTH UNITS","Health Region - (G)","Health Region - (G)",""
"1237","GEODPMF","GEODPMF_cat97_49","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35949","97","NORTHWESTERN HEALTH UNIT","NORTHWESTERN HEALTH UNIT","N/A","35949","NORTHWESTERN HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1238","GEODPMF","GEODPMF_cat97_50","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35951","97","CITY OF OTTAWA HEALTH UNIT","CITY OF OTTAWA HEALTH UNIT","N/A","35951","CITY OF OTTAWA HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1239","GEODPMF","GEODPMF_cat97_51","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35952","97","OXFORD COUNTY HEALTH UNIT","OXFORD COUNTY HEALTH UNIT","N/A","35952","OXFORD COUNTY HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1240","GEODPMF","GEODPMF_cat97_52","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35953","97","PEEL REGIONAL HEALTH UNIT","PEEL REGIONAL HEALTH UNIT","N/A","35953","PEEL REGIONAL HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1241","GEODPMF","GEODPMF_cat97_53","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35955","97","PETERBOROUGH COUNTY-CITY HEALTH UNIT","PETERBOROUGH COUNTY-CITY HEALTH UNIT","N/A","35955","PETERBOROUGH COUNTY-CITY HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1242","GEODPMF","GEODPMF_cat97_54","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35956","97","PORCUPINE HEALTH UNIT","PORCUPINE HEALTH UNIT","N/A","35956","PORCUPINE HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1243","GEODPMF","GEODPMF_cat97_55","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35957","97","RENFREW COUNTY AND DISTRICT HEALTH UNIT","RENFREW COUNTY AND DISTRICT HEALTH UNIT","N/A","35957","RENFREW COUNTY AND DISTRICT HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1244","GEODPMF","GEODPMF_cat97_56","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35958","97","EASTERN ONTARIO HEALTH UNIT","EASTERN ONTARIO HEALTH UNIT","N/A","35958","EASTERN ONTARIO HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1245","GEODPMF","GEODPMF_cat97_57","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35960","97","SIMCOE MUSKOKA DISTRICT HEALTH UNIT","SIMCOE MUSKOKA DISTRICT HEALTH UNIT","N/A","35960","SIMCOE MUSKOKA DISTRICT HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1246","GEODPMF","GEODPMF_cat97_58","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35961","97","SUDBURY AND DISTRICT HEALTH UNIT","SUDBURY AND DISTRICT HEALTH UNIT","N/A","35961","SUDBURY AND DISTRICT HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1247","GEODPMF","GEODPMF_cat97_59","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35962","97","THUNDER BAY DISTRICT HEALTH UNIT","THUNDER BAY DISTRICT HEALTH UNIT","N/A","35962","THUNDER BAY DISTRICT HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1248","GEODPMF","GEODPMF_cat97_60","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35965","97","WATERLOO HEALTH UNIT","WATERLOO HEALTH UNIT","N/A","35965","WATERLOO HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1249","GEODPMF","GEODPMF_cat97_61","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35966","97","WELLINGTON-DUFFERIN-GUELPH HU","WELLINGTON-DUFFERIN-GUELPH HU","N/A","35966","WELLINGTON-DUFFERIN-GUELPH HU","Health Region - (G)","Health Region - (G)",""
"1250","GEODPMF","GEODPMF_cat97_62","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35968","97","WINDSOR-ESSEX COUNTY HEALTH UNIT","WINDSOR-ESSEX COUNTY HEALTH UNIT","N/A","35968","WINDSOR-ESSEX COUNTY HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1251","GEODPMF","GEODPMF_cat97_63","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35970","97","YORK REGIONAL HEALTH UNIT","YORK REGIONAL HEALTH UNIT","N/A","35970","YORK REGIONAL HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1252","GEODPMF","GEODPMF_cat97_64","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","35995","97","CITY OF TORONTO HEALTH UNIT","CITY OF TORONTO HEALTH UNIT","N/A","35995","CITY OF TORONTO HEALTH UNIT","Health Region - (G)","Health Region - (G)",""
"1253","GEODPMF","GEODPMF_cat97_65","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","46901","97","WINNIPEG RHA","WINNIPEG RHA","N/A","46901","WINNIPEG RHA","Health Region - (G)","Health Region - (G)",""
"1254","GEODPMF","GEODPMF_cat97_66","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","46902","97","PRAIRIE M. HEALTH","PRAIRIE M. HEALTH","N/A","46902","PRAIRIE M. HEALTH","Health Region - (G)","Health Region - (G)",""
"1255","GEODPMF","GEODPMF_cat97_67","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","46903","97","INTERLAKE-EASTERN RHA","INTERLAKE-EASTERN RHA","N/A","46903","INTERLAKE-EASTERN RHA","Health Region - (G)","Health Region - (G)",""
"1256","GEODPMF","GEODPMF_cat97_68","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","46904","97","NORTHEN RHA","NORTHEN RHA","N/A","46904","NORTHEN RHA","Health Region - (G)","Health Region - (G)",""
"1257","GEODPMF","GEODPMF_cat97_69","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","46905","97","SOUTHEN HEALTH","SOUTHEN HEALTH","N/A","46905","SOUTHEN HEALTH","Health Region - (G)","Health Region - (G)",""
"1258","GEODPMF","GEODPMF_cat97_70","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47901","97","SUN COUNTRY/FIVE HILLS/CYPRESS","SUN COUNTRY/FIVE HILLS/CYPRESS","N/A","47901","SUN COUNTRY/FIVE HILLS/CYPRESS","Health Region - (G)","Health Region - (G)",""
"1259","GEODPMF","GEODPMF_cat97_71","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47904","97","REGINA QU'APPELLE","REGINA QU'APPELLE","N/A","47904","REGINA QU'APPELLE","Health Region - (G)","Health Region - (G)",""
"1260","GEODPMF","GEODPMF_cat97_72","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47905","97","SUNRISE/KELSEY TRAIL","SUNRISE/KELSEY TRAIL","N/A","47905","SUNRISE/KELSEY TRAIL","Health Region - (G)","Health Region - (G)",""
"1261","GEODPMF","GEODPMF_cat97_73","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47906","97","SASKATOON","SASKATOON","N/A","47906","SASKATOON","Health Region - (G)","Health Region - (G)",""
"1262","GEODPMF","GEODPMF_cat97_74","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47907","97","HEARTLAND/PRAIRIE NORTH","HEARTLAND/PRAIRIE NORTH","N/A","47907","HEARTLAND/PRAIRIE NORTH","Health Region - (G)","Health Region - (G)",""
"1263","GEODPMF","GEODPMF_cat97_75","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","47909","97","PRINCE ALBERT/MAMAWETAN/KEEWATIN/ATHABA","PRINCE ALBERT/MAMAWETAN/KEEWATIN/ATHABA","N/A","47909","PRINCE ALBERT/MAMAWETAN/KEEWATIN/ATHABA","Health Region - (G)","Health Region - (G)",""
"1264","GEODPMF","GEODPMF_cat97_76","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","48931","97","SOUTH ZONE","SOUTH ZONE","N/A","48931","SOUTH ZONE","Health Region - (G)","Health Region - (G)",""
"1265","GEODPMF","GEODPMF_cat97_77","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","48932","97","CALGARY ZONE","CALGARY ZONE","N/A","48932","CALGARY ZONE","Health Region - (G)","Health Region - (G)",""
"1266","GEODPMF","GEODPMF_cat97_78","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","48933","97","CENTRAL ZONE","CENTRAL ZONE","N/A","48933","CENTRAL ZONE","Health Region - (G)","Health Region - (G)",""
"1267","GEODPMF","GEODPMF_cat97_79","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","48934","97","EDMONTON ZONE","EDMONTON ZONE","N/A","48934","EDMONTON ZONE","Health Region - (G)","Health Region - (G)",""
"1268","GEODPMF","GEODPMF_cat97_80","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","48935","97","NORTH ZONE","NORTH ZONE","N/A","48935","NORTH ZONE","Health Region - (G)","Health Region - (G)",""
"1269","GEODPMF","GEODPMF_cat97_81","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59911","97","EAST KOOTENAY","EAST KOOTENAY","N/A","59911","EAST KOOTENAY","Health Region - (G)","Health Region - (G)",""
"1270","GEODPMF","GEODPMF_cat97_82","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59912","97","KOOTENAY-BOUNDARY","KOOTENAY-BOUNDARY","N/A","59912","KOOTENAY-BOUNDARY","Health Region - (G)","Health Region - (G)",""
"1271","GEODPMF","GEODPMF_cat97_83","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59913","97","OKANAGAN","OKANAGAN","N/A","59913","OKANAGAN","Health Region - (G)","Health Region - (G)",""
"1272","GEODPMF","GEODPMF_cat97_84","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59914","97","THOMPSON/CARIBOO","THOMPSON/CARIBOO","N/A","59914","THOMPSON/CARIBOO","Health Region - (G)","Health Region - (G)",""
"1273","GEODPMF","GEODPMF_cat97_85","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59921","97","FRASER EAST","FRASER EAST","N/A","59921","FRASER EAST","Health Region - (G)","Health Region - (G)",""
"1274","GEODPMF","GEODPMF_cat97_86","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59922","97","FRASER NORTH","FRASER NORTH","N/A","59922","FRASER NORTH","Health Region - (G)","Health Region - (G)",""
"1275","GEODPMF","GEODPMF_cat97_87","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59923","97","FRASER SOUTH","FRASER SOUTH","N/A","59923","FRASER SOUTH","Health Region - (G)","Health Region - (G)",""
"1276","GEODPMF","GEODPMF_cat97_88","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59931","97","RICHMOND","RICHMOND","N/A","59931","RICHMOND","Health Region - (G)","Health Region - (G)",""
"1277","GEODPMF","GEODPMF_cat97_89","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59932","97","VANCOUVER","VANCOUVER","N/A","59932","VANCOUVER","Health Region - (G)","Health Region - (G)",""
"1278","GEODPMF","GEODPMF_cat97_90","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59933","97","NORTH SHORE/COAST GARIBALDI","NORTH SHORE/COAST GARIBALDI","N/A","59933","NORTH SHORE/COAST GARIBALDI","Health Region - (G)","Health Region - (G)",""
"1279","GEODPMF","GEODPMF_cat97_91","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59941","97","SOUTH VANCOUVER ISLAND","SOUTH VANCOUVER ISLAND","N/A","59941","SOUTH VANCOUVER ISLAND","Health Region - (G)","Health Region - (G)",""
"1280","GEODPMF","GEODPMF_cat97_92","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59942","97","CENTRAL VANCOUVER ISLAND","CENTRAL VANCOUVER ISLAND","N/A","59942","CENTRAL VANCOUVER ISLAND","Health Region - (G)","Health Region - (G)",""
"1281","GEODPMF","GEODPMF_cat97_93","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59943","97","NORTH VANCOUVER ISLAND","NORTH VANCOUVER ISLAND","N/A","59943","NORTH VANCOUVER ISLAND","Health Region - (G)","Health Region - (G)",""
"1282","GEODPMF","GEODPMF_cat97_94","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59951","97","NORTHWEST","NORTHWEST","N/A","59951","NORTHWEST","Health Region - (G)","Health Region - (G)",""
"1283","GEODPMF","GEODPMF_cat97_95","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59952","97","NORTHERN INTERIOR","NORTHERN INTERIOR","N/A","59952","NORTHERN INTERIOR","Health Region - (G)","Health Region - (G)",""
"1284","GEODPMF","GEODPMF_cat97_96","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","59953","97","NORTHEAST","NORTHEAST","N/A","59953","NORTHEAST","Health Region - (G)","Health Region - (G)",""
"1285","GEODPMF","GEODPMF_cat97_97","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","60901","97","YUKON/NORTHWEST TERRITORIES/NUNAVUT","YUKON/NORTHWEST TERRITORIES/NUNAVUT","N/A","60901","YUKON/NORTHWEST TERRITORIES/NUNAVUT","Health Region - (G)","Health Region - (G)",""
"1286","GEODPMF","GEODPMF_cat97_NA::b","cat","cchs2013_2014_p, cchs2014_p","[GEODPMF]","cat","NA::b","97","missing","missing","N/A","else","else","Health Region - (G)","Health Region - (G)",""
"1287","GEOGPRV","GEOGPRV_cat11_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","10","11","NL","Nfld. & Labrador","N/A","10","Nfld. & Labrador","Province","Province of residence of respondent (G)",""
"1288","GEOGPRV","GEOGPRV_cat11_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","11","11","PEI","Prince Edward Island","N/A","11","Prince Edward Island","Province","Province of residence of respondent (G)",""
"1289","GEOGPRV","GEOGPRV_cat11_3","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","12","11","NS","Nova Scotia","N/A","12","Nova Scotia","Province","Province of residence of respondent (G)",""
"1290","GEOGPRV","GEOGPRV_cat11_4","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","13","11","NB","New Brunswick","N/A","13","New Brunswick","Province","Province of residence of respondent (G)",""
"1291","GEOGPRV","GEOGPRV_cat11_5","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","24","11","QC","Quebec","N/A","24","Quebec","Province","Province of residence of respondent (G)",""
"1292","GEOGPRV","GEOGPRV_cat11_6","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","35","11","ON","Ontario","N/A","35","Ontario","Province","Province of residence of respondent (G)",""
"1293","GEOGPRV","GEOGPRV_cat11_7","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","46","11","MB","Manitoba","N/A","46","Manitoba","Province","Province of residence of respondent (G)",""
"1294","GEOGPRV","GEOGPRV_cat11_8","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","47","11","SK","Saskatchewan","N/A","47","Saskatchewan","Province","Province of residence of respondent (G)",""
"1295","GEOGPRV","GEOGPRV_cat11_9","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s","cchs2001_p::GEOAGPRV, cchs2003_p::GEOCGPRV, cchs2005_p::GEOEGPRV, cchs2015_2016_p::GEO_PRV, cchs2017_2018_p::GEO_PRV, cchs2009_s::GEO_PRV, cchs2010_s::GEO_PRV, cchs2012_s::GEO_PRV, [GEOGPRV]","cat","48","11","AB","Alberta","N/A","48","Alberta","Province","Province of residence of respondent (G)",""
